anm_id,employee_code,first_name,last_name,phone_number,sub_center_name,date_of_joining,status
1,ANM0001,Oscar,Pandey,9728551886,Sub Center 1,2014-02-15,ACTIVE
2,ANM0002,Jacob,Vasa,9118429961,Sub Center 2,2022-03-08,ACTIVE
3,ANM0003,Aishani,Pandya,9485800615,Sub Center 3,2012-02-21,ACTIVE
4,ANM0004,Balveer,Bath,9433237785,Sub Center 4,2018-07-25,ACTIVE
5,ANM0005,Omaja,Shroff,9882772047,Sub Center 5,2021-10-02,INACTIVE
6,ANM0006,Lakshmi,Sharaf,9212307083,Sub Center 6,2018-09-22,ACTIVE
7,ANM0007,Victor,Mannan,9658572903,Sub Center 7,2015-07-03,ACTIVE
8,ANM0008,Daksha,Sachdev,9427881793,Sub Center 8,2018-06-11,TRANSFERRED
9,ANM0009,Ekantika,Mander,9552515915,Sub Center 9,2020-03-27,ACTIVE
10,ANM0010,Eshana,Amble,9158652068,Sub Center 10,2016-10-07,ACTIVE
11,ANM0011,Nirja,Sastry,9834655911,Sub Center 11,2014-07-31,ACTIVE
12,ANM0012,Agastya,Brahmbhatt,9359559856,Sub Center 12,2011-12-15,ACTIVE
13,ANM0013,Ansh,Nazareth,9611677924,Sub Center 13,2012-10-13,ACTIVE
14,ANM0014,Banjeet,Mannan,9326628387,Sub Center 14,2020-06-01,ACTIVE
15,ANM0015,Kiaan,Nayak,9415198643,Sub Center 15,2011-11-07,ACTIVE
16,ANM0016,Sai,Tak,9535447802,Sub Center 16,2014-10-18,INACTIVE
17,ANM0017,Xiti,Dhar,9567456359,Sub Center 17,2022-04-15,ACTIVE
18,ANM0018,Chandran,Halder,9594634107,Sub Center 18,2024-03-11,TRANSFERRED
19,ANM0019,Indira,Tripathi,9251354228,Sub Center 19,2023-06-21,ACTIVE
20,ANM0020,Viraj,Puri,9934356631,Sub Center 20,2015-06-18,ACTIVE
21,ANM0021,Hamsini,Sankar,9686926138,Sub Center 21,2015-11-16,ACTIVE
22,ANM0022,Charan,Chandran,9287403052,Sub Center 22,2021-07-16,RETIRED
23,ANM0023,Jai,Sawhney,9921975353,Sub Center 23,2017-05-10,ACTIVE
24,ANM0024,Gunbir,Grewal,9655495889,Sub Center 24,2019-09-02,TRANSFERRED
25,ANM0025,Ekantika,Swamy,9442375119,Sub Center 25,2022-03-11,INACTIVE
26,ANM0026,Nicholas,Agarwal,9396484812,Sub Center 26,2018-05-20,ACTIVE
27,ANM0027,Pratyush,Keer,9207806044,Sub Center 27,2023-01-14,ACTIVE
28,ANM0028,Yadavi,Mangal,9875311048,Sub Center 28,2020-05-09,ACTIVE
29,ANM0029,Ridhi,Oak,9392502314,Sub Center 29,2025-03-19,ACTIVE
30,ANM0030,Girik,Ghosh,9165411225,Sub Center 30,2017-04-24,ACTIVE
31,ANM0031,Qadim,Hora,9263315974,Sub Center 31,2019-10-26,INACTIVE
32,ANM0032,Udarsh,Krishnan,9876058816,Sub Center 32,2012-11-08,RETIRED
33,ANM0033,Edhitha,Iyer,9183428265,Sub Center 33,2015-04-29,ACTIVE
34,ANM0034,Lila,Bhasin,9630384457,Sub Center 34,2023-12-03,ACTIVE
35,ANM0035,Ethan,Mandal,9765847223,Sub Center 35,2017-12-21,ACTIVE
36,ANM0036,Samesh,Dutt,9135397135,Sub Center 36,2014-05-21,ACTIVE
37,ANM0037,Oni,Choudhary,9538073647,Sub Center 37,2013-12-30,INACTIVE
38,ANM0038,Jalsa,Ahluwalia,9635706413,Sub Center 38,2015-07-03,ACTIVE
39,ANM0039,Indali,Tripathi,9545497784,Sub Center 39,2021-01-01,ACTIVE
40,ANM0040,Yamini,Cheema,9698230974,Sub Center 40,2017-08-03,ACTIVE
41,ANM0041,Bishakha,Virk,9290007636,Sub Center 41,2017-11-27,ACTIVE
42,ANM0042,Zarna,Tak,9541521276,Sub Center 42,2015-09-24,ACTIVE
43,ANM0043,Abha,Puri,9112614656,Sub Center 43,2012-05-29,ACTIVE
44,ANM0044,Yashodhara,Bajwa,9589178159,Sub Center 44,2021-07-21,ACTIVE
45,ANM0045,Harita,Dalal,9385541918,Sub Center 45,2024-06-02,ACTIVE
46,ANM0046,Vihaan,Dube,9256340633,Sub Center 46,2013-08-19,TRANSFERRED
47,ANM0047,Arunima,Doctor,9225021295,Sub Center 47,2012-04-25,ACTIVE
48,ANM0048,Christopher,Kanda,9459555501,Sub Center 48,2021-08-25,ACTIVE
49,ANM0049,Dev,Batta,9138890662,Sub Center 49,2025-01-03,ACTIVE
50,ANM0050,Ishanvi,More,9899701891,Sub Center 50,2023-03-04,ACTIVE
51,ANM0051,Dhruv,Chowdhury,9779048241,Sub Center 51,2021-03-10,ACTIVE
52,ANM0052,Ranbir,Natarajan,9345403150,Sub Center 52,2019-01-15,ACTIVE
53,ANM0053,Anusha,Mani,9843406410,Sub Center 53,2024-11-30,ACTIVE
54,ANM0054,Isha,Suri,9343493820,Sub Center 54,2025-04-25,ACTIVE
55,ANM0055,Pratyush,Tara,9321471147,Sub Center 55,2012-08-25,ACTIVE
56,ANM0056,Dakshesh,Kalla,9670938695,Sub Center 56,2017-02-15,ACTIVE
57,ANM0057,Abhimanyu,Ram,9402596175,Sub Center 57,2013-06-20,ACTIVE
58,ANM0058,Bina,Karnik,9131150506,Sub Center 58,2014-11-25,ACTIVE
59,ANM0059,Ranveer,Jha,9780668097,Sub Center 59,2020-12-26,RETIRED
60,ANM0060,Gautami,Hari,9143158990,Sub Center 60,2021-04-11,RETIRED
61,ANM0061,Rishi,Chauhan,9785904417,Sub Center 61,2013-11-06,ACTIVE
62,ANM0062,Bhavani,Sheth,9347796289,Sub Center 62,2012-04-30,ACTIVE
63,ANM0063,Jhalak,Bhatnagar,9761780168,Sub Center 63,2018-12-04,ACTIVE
64,ANM0064,Ojasvi,Bawa,9201205791,Sub Center 64,2015-06-20,ACTIVE
65,ANM0065,Ojas,Rattan,9414579491,Sub Center 65,2012-01-07,ACTIVE
66,ANM0066,Oeshi,Dhingra,9167801132,Sub Center 66,2013-08-09,ACTIVE
67,ANM0067,Chavvi,Sandhu,9992532074,Sub Center 67,2019-05-26,ACTIVE
68,ANM0068,Megha,Sekhon,9947221816,Sub Center 68,2024-02-11,ACTIVE
69,ANM0069,Nihal,Sanghvi,9542677434,Sub Center 69,2021-01-31,ACTIVE
70,ANM0070,Triya,Gulati,9567896976,Sub Center 70,2013-12-02,ACTIVE
71,ANM0071,Viraj,Seshadri,9404907485,Sub Center 71,2024-08-26,ACTIVE
72,ANM0072,Indrajit,Deo,9101735210,Sub Center 72,2020-02-22,INACTIVE
73,ANM0073,Frado,Viswanathan,9445334384,Sub Center 73,2020-06-11,ACTIVE
74,ANM0074,Waida,Panchal,9323708524,Sub Center 74,2015-05-02,TRANSFERRED
75,ANM0075,Eshana,Bhargava,9203140147,Sub Center 75,2023-07-26,ACTIVE
76,ANM0076,Ethan,Prabhu,9848162762,Sub Center 76,2017-03-01,ACTIVE
77,ANM0077,Owen,Tandon,9127219773,Sub Center 77,2024-03-31,ACTIVE
78,ANM0078,Dev,Morar,9734938663,Sub Center 78,2014-01-04,ACTIVE
79,ANM0079,Aachal,Viswanathan,9712513314,Sub Center 79,2012-12-16,ACTIVE
80,ANM0080,Pranav,Som,9494779800,Sub Center 80,2018-12-14,ACTIVE
81,ANM0081,Ishanvi,Sunder,9102163162,Sub Center 81,2019-12-10,ACTIVE
82,ANM0082,Ayushman,Tripathi,9542280594,Sub Center 82,2021-09-28,ACTIVE
83,ANM0083,Vedant,Pai,9151568936,Sub Center 83,2017-03-09,RETIRED
84,ANM0084,Ekavir,Sen,9367967338,Sub Center 84,2016-03-09,ACTIVE
85,ANM0085,Dalbir,Venkataraman,9186434006,Sub Center 85,2018-03-01,ACTIVE
86,ANM0086,Aahana,Edwin,9853353963,Sub Center 86,2018-03-16,ACTIVE
87,ANM0087,Benjamin,Lalla,9872009875,Sub Center 87,2014-12-07,ACTIVE
88,ANM0088,Gopal,Chad,9918607218,Sub Center 88,2011-12-01,ACTIVE
89,ANM0089,Daniel,Zachariah,9936300127,Sub Center 89,2020-06-08,ACTIVE
90,ANM0090,Faris,Sachdev,9732907365,Sub Center 90,2025-03-14,TRANSFERRED
91,ANM0091,Jalsa,Devi,9916623399,Sub Center 91,2023-11-17,ACTIVE
92,ANM0092,Hamsini,Nadig,9107518756,Sub Center 92,2022-12-02,ACTIVE
93,ANM0093,Kevin,Gera,9377448576,Sub Center 93,2011-07-22,INACTIVE
94,ANM0094,Jairaj,Wadhwa,9877276297,Sub Center 94,2016-04-24,ACTIVE
95,ANM0095,Andrew,Soni,9129400429,Sub Center 95,2011-10-29,ACTIVE
96,ANM0096,Ira,Kala,9279981390,Sub Center 96,2024-09-16,ACTIVE
97,ANM0097,Bishakha,Bora,9154201167,Sub Center 97,2024-09-25,RETIRED
98,ANM0098,Kashvi,Koshy,9400841704,Sub Center 98,2012-03-13,ACTIVE
99,ANM0099,Yatan,Rama,9203471847,Sub Center 99,2019-01-20,ACTIVE
100,ANM0100,Zehaan,Dhillon,9251621411,Sub Center 100,2011-08-04,ACTIVE
