user_id,username,password_hash,role,asha_id,anm_id,email,reset_otp,otp_expiry
3,asha0003,$2b$12$dummy_hash,ASHA,3,,asha0003@asha.gov.in,,
4,asha0004,$2b$12$dummy_hash,ASHA,4,,asha0004@asha.gov.in,,
5,asha0005,$2b$12$dummy_hash,ASHA,5,,asha0005@asha.gov.in,,
6,asha0006,$2b$12$dummy_hash,ASHA,6,,asha0006@asha.gov.in,,
7,asha0007,$2b$12$dummy_hash,ASHA,7,,asha0007@asha.gov.in,,
8,asha0008,$2b$12$dummy_hash,ASHA,8,,asha0008@asha.gov.in,,
9,asha0009,$2b$12$dummy_hash,ASHA,9,,asha0009@asha.gov.in,,
10,asha0010,$2b$12$dummy_hash,ASHA,10,,asha0010@asha.gov.in,,
11,asha0011,$2b$12$dummy_hash,ASHA,11,,asha0011@asha.gov.in,,
12,asha0012,$2b$12$dummy_hash,ASHA,12,,asha0012@asha.gov.in,,
13,asha0013,$2b$12$dummy_hash,ASHA,13,,asha0013@asha.gov.in,,
14,asha0014,$2b$12$dummy_hash,ASHA,14,,asha0014@asha.gov.in,,
15,asha0015,$2b$12$dummy_hash,ASHA,15,,asha0015@asha.gov.in,,
16,asha0016,$2b$12$dummy_hash,ASHA,16,,asha0016@asha.gov.in,,
17,asha0017,$2b$12$dummy_hash,ASHA,17,,asha0017@asha.gov.in,,
18,asha0018,$2b$12$dummy_hash,ASHA,18,,asha0018@asha.gov.in,,
19,asha0019,$2b$12$dummy_hash,ASHA,19,,asha0019@asha.gov.in,,
20,asha0020,$2b$12$dummy_hash,ASHA,20,,asha0020@asha.gov.in,,
21,asha0021,$2b$12$dummy_hash,ASHA,21,,asha0021@asha.gov.in,,
22,asha0022,$2b$12$dummy_hash,ASHA,22,,asha0022@asha.gov.in,,
23,asha0023,$2b$12$dummy_hash,ASHA,23,,asha0023@asha.gov.in,,
24,asha0024,$2b$12$dummy_hash,ASHA,24,,asha0024@asha.gov.in,,
25,asha0025,$2b$12$dummy_hash,ASHA,25,,asha0025@asha.gov.in,,
26,asha0026,$2b$12$dummy_hash,ASHA,26,,asha0026@asha.gov.in,,
27,asha0027,$2b$12$dummy_hash,ASHA,27,,asha0027@asha.gov.in,,
28,asha0028,$2b$12$dummy_hash,ASHA,28,,asha0028@asha.gov.in,,
29,asha0029,$2b$12$dummy_hash,ASHA,29,,asha0029@asha.gov.in,,
30,asha0030,$2b$12$dummy_hash,ASHA,30,,asha0030@asha.gov.in,,
31,asha0031,$2b$12$dummy_hash,ASHA,31,,asha0031@asha.gov.in,,
32,asha0032,$2b$12$dummy_hash,ASHA,32,,asha0032@asha.gov.in,,
33,asha0033,$2b$12$dummy_hash,ASHA,33,,asha0033@asha.gov.in,,
34,asha0034,$2b$12$dummy_hash,ASHA,34,,asha0034@asha.gov.in,,
35,asha0035,$2b$12$dummy_hash,ASHA,35,,asha0035@asha.gov.in,,
36,asha0036,$2b$12$dummy_hash,ASHA,36,,asha0036@asha.gov.in,,
37,asha0037,$2b$12$dummy_hash,ASHA,37,,asha0037@asha.gov.in,,
38,asha0038,$2b$12$dummy_hash,ASHA,38,,asha0038@asha.gov.in,,
39,asha0039,$2b$12$dummy_hash,ASHA,39,,asha0039@asha.gov.in,,
40,asha0040,$2b$12$dummy_hash,ASHA,40,,asha0040@asha.gov.in,,
41,asha0041,$2b$12$dummy_hash,ASHA,41,,asha0041@asha.gov.in,,
42,asha0042,$2b$12$dummy_hash,ASHA,42,,asha0042@asha.gov.in,,
43,asha0043,$2b$12$dummy_hash,ASHA,43,,asha0043@asha.gov.in,,
44,asha0044,$2b$12$dummy_hash,ASHA,44,,asha0044@asha.gov.in,,
45,asha0045,$2b$12$dummy_hash,ASHA,45,,asha0045@asha.gov.in,,
46,asha0046,$2b$12$dummy_hash,ASHA,46,,asha0046@asha.gov.in,,
47,asha0047,$2b$12$dummy_hash,ASHA,47,,asha0047@asha.gov.in,,
48,asha0048,$2b$12$dummy_hash,ASHA,48,,asha0048@asha.gov.in,,
49,asha0049,$2b$12$dummy_hash,ASHA,49,,asha0049@asha.gov.in,,
50,asha0050,$2b$12$dummy_hash,ASHA,50,,asha0050@asha.gov.in,,
51,asha0051,$2b$12$dummy_hash,ASHA,51,,asha0051@asha.gov.in,,
52,asha0052,$2b$12$dummy_hash,ASHA,52,,asha0052@asha.gov.in,,
53,asha0053,$2b$12$dummy_hash,ASHA,53,,asha0053@asha.gov.in,,
54,asha0054,$2b$12$dummy_hash,ASHA,54,,asha0054@asha.gov.in,,
55,asha0055,$2b$12$dummy_hash,ASHA,55,,asha0055@asha.gov.in,,
56,asha0056,$2b$12$dummy_hash,ASHA,56,,asha0056@asha.gov.in,,
57,asha0057,$2b$12$dummy_hash,ASHA,57,,asha0057@asha.gov.in,,
58,asha0058,$2b$12$dummy_hash,ASHA,58,,asha0058@asha.gov.in,,
59,asha0059,$2b$12$dummy_hash,ASHA,59,,asha0059@asha.gov.in,,
60,asha0060,$2b$12$dummy_hash,ASHA,60,,asha0060@asha.gov.in,,
61,asha0061,$2b$12$dummy_hash,ASHA,61,,asha0061@asha.gov.in,,
62,asha0062,$2b$12$dummy_hash,ASHA,62,,asha0062@asha.gov.in,,
63,asha0063,$2b$12$dummy_hash,ASHA,63,,asha0063@asha.gov.in,,
64,asha0064,$2b$12$dummy_hash,ASHA,64,,asha0064@asha.gov.in,,
65,asha0065,$2b$12$dummy_hash,ASHA,65,,asha0065@asha.gov.in,,
66,asha0066,$2b$12$dummy_hash,ASHA,66,,asha0066@asha.gov.in,,
67,asha0067,$2b$12$dummy_hash,ASHA,67,,asha0067@asha.gov.in,,
68,asha0068,$2b$12$dummy_hash,ASHA,68,,asha0068@asha.gov.in,,
69,asha0069,$2b$12$dummy_hash,ASHA,69,,asha0069@asha.gov.in,,
70,asha0070,$2b$12$dummy_hash,ASHA,70,,asha0070@asha.gov.in,,
71,asha0071,$2b$12$dummy_hash,ASHA,71,,asha0071@asha.gov.in,,
72,asha0072,$2b$12$dummy_hash,ASHA,72,,asha0072@asha.gov.in,,
73,asha0073,$2b$12$dummy_hash,ASHA,73,,asha0073@asha.gov.in,,
74,asha0074,$2b$12$dummy_hash,ASHA,74,,asha0074@asha.gov.in,,
75,asha0075,$2b$12$dummy_hash,ASHA,75,,asha0075@asha.gov.in,,
