asha_id,employee_code,first_name,last_name,phone_number,date_of_joining,status,area_id
1,ASHA0001,Eta,Baral,8828131148,2020-03-08,ACTIVE,1
2,ASHA0002,Abha,Contractor,8692631740,2016-10-04,ACTIVE,2
3,ASHA0003,Nikita,Balay,8584870291,2011-07-13,ACTIVE,3
4,ASHA0004,Warhi,Goswami,8956185311,2015-06-09,TRANSFERRED,4
5,ASHA0005,Baghyawati,Bhalla,8643406606,2016-08-11,ACTIVE,5
6,ASHA0006,Tamanna,Malhotra,8956669551,2012-01-03,ACTIVE,6
7,ASHA0007,Faras,Chowdhury,8912183046,2015-06-25,ACTIVE,7
8,ASHA0008,Siya,Peri,8323536312,2012-03-16,ACTIVE,8
9,ASHA0009,Fitan,Sodhi,8254861117,2023-04-22,ACTIVE,9
10,ASHA0010,Harsh,Sule,8791389336,2017-03-27,ACTIVE,10
11,ASHA0011,Ridhi,Vyas,8439304500,2024-09-30,INACTIVE,11
12,ASHA0012,Anusha,Agarwal,8519454326,2014-07-15,ACTIVE,12
13,ASHA0013,Krishna,Bose,8340527381,2012-01-21,ACTIVE,13
14,ASHA0014,Aarav,Chand,8859948538,2020-05-21,ACTIVE,14
15,ASHA0015,Janani,Tata,8884149095,2019-06-30,ACTIVE,15
16,ASHA0016,Zayyan,Mani,8379419290,2019-05-01,ACTIVE,16
17,ASHA0017,Oliver,Bansal,8517830483,2016-08-23,RETIRED,17
18,ASHA0018,Dhruv,Ravi,8824832314,2021-07-05,ACTIVE,18
19,ASHA0019,Edhitha,Mandal,8527108209,2023-12-18,ACTIVE,19
20,ASHA0020,Utkarsh,Pant,8486740214,2012-09-03,ACTIVE,20
21,ASHA0021,Peter,Chaudhry,8247673488,2018-11-23,ACTIVE,21
22,ASHA0022,Ekaraj,Ray,8428525726,2023-07-17,ACTIVE,22
23,ASHA0023,Damini,Ratta,8816916735,2014-09-05,ACTIVE,23
24,ASHA0024,Naveen,Mall,8273393429,2024-07-21,ACTIVE,24
25,ASHA0025,Gaurika,Sheth,8820920761,2018-01-26,TRANSFERRED,25
26,ASHA0026,Finn,Sankaran,8987664611,2013-04-11,ACTIVE,26
27,ASHA0027,Arunima,Mandal,8750057051,2013-11-29,TRANSFERRED,27
28,ASHA0028,Gunbir,Khare,8153525115,2017-09-08,ACTIVE,28
29,ASHA0029,Irya,Munshi,8861227256,2023-11-13,ACTIVE,29
30,ASHA0030,Azaan,Chander,8585116348,2023-03-13,ACTIVE,30
31,ASHA0031,Qarin,Banik,8590503853,2014-06-10,ACTIVE,31
32,ASHA0032,Vincent,Rajagopal,8319277278,2024-06-04,ACTIVE,32
33,ASHA0033,Champak,Mitter,8490231438,2017-11-01,ACTIVE,33
34,ASHA0034,Mitesh,Narula,8492173347,2023-01-29,ACTIVE,34
35,ASHA0035,Atharv,Baria,8989990468,2016-07-06,ACTIVE,35
36,ASHA0036,Pooja,Ahuja,8123539579,2019-03-12,ACTIVE,36
37,ASHA0037,Rajata,Chander,8673504872,2014-03-02,ACTIVE,37
38,ASHA0038,Shivansh,Iyer,8877705852,2023-11-27,ACTIVE,38
39,ASHA0039,Faraj,Chana,8670019146,2019-11-20,INACTIVE,39
40,ASHA0040,Rishi,Raju,8313777736,2016-02-20,ACTIVE,40
41,ASHA0041,Wahab,Naidu,8431095297,2018-10-10,ACTIVE,41
42,ASHA0042,Bina,Lala,8837469890,2020-02-23,ACTIVE,42
43,ASHA0043,Kavya,Rajagopalan,8749050454,2015-12-04,ACTIVE,43
44,ASHA0044,Vasatika,Virk,8715452231,2011-09-25,ACTIVE,44
45,ASHA0045,Wyatt,Goswami,8290611122,2019-11-26,ACTIVE,45
46,ASHA0046,Ekavir,Ganesan,8374599526,2013-01-08,ACTIVE,46
47,ASHA0047,Upadhriti,Ratti,8997980734,2014-05-18,ACTIVE,47
48,ASHA0048,Falan,Dugar,8277623665,2013-08-14,ACTIVE,48
49,ASHA0049,Forum,Gokhale,8648749445,2014-12-24,ACTIVE,49
50,ASHA0050,Upadhriti,Kunda,8167497292,2014-08-09,ACTIVE,50
51,ASHA0051,Chanakya,Khare,8398748758,2018-01-01,INACTIVE,51
52,ASHA0052,Om,Shetty,8194317152,2015-07-16,ACTIVE,52
53,ASHA0053,Aishani,Sood,8717003695,2019-12-10,ACTIVE,53
54,ASHA0054,Veer,Sachdev,8798866334,2018-12-23,ACTIVE,54
55,ASHA0055,Madhav,Bala,8844043952,2012-10-22,ACTIVE,55
