user_id,username,password_hash,email,role,asha_id,anm_id
1,asha0001,$2b$12$dummy_hash,asha0001@asha.gov.in,ASHA,1,
2,asha0002,$2b$12$dummy_hash,asha0002@asha.gov.in,ASHA,2,
3,asha0003,$2b$12$dummy_hash,asha0003@asha.gov.in,ASHA,3,
4,asha0004,$2b$12$dummy_hash,asha0004@asha.gov.in,ASHA,4,
5,asha0005,$2b$12$dummy_hash,asha0005@asha.gov.in,ASHA,5,
6,asha0006,$2b$12$dummy_hash,asha0006@asha.gov.in,ASHA,6,
7,asha0007,$2b$12$dummy_hash,asha0007@asha.gov.in,ASHA,7,
8,asha0008,$2b$12$dummy_hash,asha0008@asha.gov.in,ASHA,8,
9,asha0009,$2b$12$dummy_hash,asha0009@asha.gov.in,ASHA,9,
10,asha0010,$2b$12$dummy_hash,asha0010@asha.gov.in,ASHA,10,
11,asha0011,$2b$12$dummy_hash,asha0011@asha.gov.in,ASHA,11,
12,asha0012,$2b$12$dummy_hash,asha0012@asha.gov.in,ASHA,12,
13,asha0013,$2b$12$dummy_hash,asha0013@asha.gov.in,ASHA,13,
14,asha0014,$2b$12$dummy_hash,asha0014@asha.gov.in,ASHA,14,
15,asha0015,$2b$12$dummy_hash,asha0015@asha.gov.in,ASHA,15,
16,asha0016,$2b$12$dummy_hash,asha0016@asha.gov.in,ASHA,16,
17,asha0017,$2b$12$dummy_hash,asha0017@asha.gov.in,ASHA,17,
18,asha0018,$2b$12$dummy_hash,asha0018@asha.gov.in,ASHA,18,
19,asha0019,$2b$12$dummy_hash,asha0019@asha.gov.in,ASHA,19,
20,asha0020,$2b$12$dummy_hash,asha0020@asha.gov.in,ASHA,20,
21,asha0021,$2b$12$dummy_hash,asha0021@asha.gov.in,ASHA,21,
22,asha0022,$2b$12$dummy_hash,asha0022@asha.gov.in,ASHA,22,
23,asha0023,$2b$12$dummy_hash,asha0023@asha.gov.in,ASHA,23,
24,asha0024,$2b$12$dummy_hash,asha0024@asha.gov.in,ASHA,24,
25,asha0025,$2b$12$dummy_hash,asha0025@asha.gov.in,ASHA,25,
26,asha0026,$2b$12$dummy_hash,asha0026@asha.gov.in,ASHA,26,
27,asha0027,$2b$12$dummy_hash,asha0027@asha.gov.in,ASHA,27,
28,asha0028,$2b$12$dummy_hash,asha0028@asha.gov.in,ASHA,28,
29,asha0029,$2b$12$dummy_hash,asha0029@asha.gov.in,ASHA,29,
30,asha0030,$2b$12$dummy_hash,asha0030@asha.gov.in,ASHA,30,
31,asha0031,$2b$12$dummy_hash,asha0031@asha.gov.in,ASHA,31,
32,asha0032,$2b$12$dummy_hash,asha0032@asha.gov.in,ASHA,32,
33,asha0033,$2b$12$dummy_hash,asha0033@asha.gov.in,ASHA,33,
34,asha0034,$2b$12$dummy_hash,asha0034@asha.gov.in,ASHA,34,
35,asha0035,$2b$12$dummy_hash,asha0035@asha.gov.in,ASHA,35,
36,asha0036,$2b$12$dummy_hash,asha0036@asha.gov.in,ASHA,36,
37,asha0037,$2b$12$dummy_hash,asha0037@asha.gov.in,ASHA,37,
38,asha0038,$2b$12$dummy_hash,asha0038@asha.gov.in,ASHA,38,
39,asha0039,$2b$12$dummy_hash,asha0039@asha.gov.in,ASHA,39,
40,asha0040,$2b$12$dummy_hash,asha0040@asha.gov.in,ASHA,40,
